,V1,V2,V3
L1,5.966031755,9.816449042,1.374546292
L12,3.208618137,8.214168156,15.60876254
L13,1.680861943,6.723674308,13.44754646
L14,6.450442256,8.325955195,15.75781192
L15,5.295309524,7.767020002,18.62701258
L17,5.705195332,9.033939772,15.16161438
L19,5.779720024,9.704662004,6.069601912
L2,6.599491641,10.33812189,3.908385833
L22,6.338655217,4.450671191,6.516750066
L23,4.401013215,5.233180461,6.628537105
L24,2.090747751,7.468921232,8.34260503
L25,3.804815676,3.332800805,10.80191988
L28,2.68694529,5.605803923,18.58975023
L29,2.426108867,6.686411962,17.36009281
L3,4.028389753,7.841544694,5.175305603
L32,1.12192675,7.468921232,13.29849707
L33,1.084664404,7.319871847,12.73956188
L35,5.63067064,7.729757655,2.455154331
L4,3.357667522,8.17690581,7.187472298
L5,5.071735447,9.294776196,7.56009576
L6,6.450442256,8.810365695,8.82701553
L8,5.183522485,9.033939772,11.36085507
M21,6.785803372,4.301621806,6.628537105
M26,7.232951526,1.655995226,13.03766065
M27,7.046639795,1.432421149,16.83841996
M37,7.232951526,7.767020002,15.27340142
M38,6.748541025,7.468921232,12.47872546
M39,6.972115103,7.282609501,10.46655876
M40,6.823065718,4.786032306,6.963898221
R1,8.052723142,9.630137311,1.449070984
R12,10.95918615,7.87880704,15.19887673
R13,12.18884357,6.388313193,12.92587361
R14,7.903673757,8.251430502,15.72054958
R15,9.133331182,7.617970617,18.21712677
R17,8.350821912,8.884890387,15.012565
R19,8.015460796,9.74192435,5.883290181
R2,7.232951526,10.37538424,3.871123487
R22,7.232951526,4.376146498,6.47948772
R23,9.207855874,5.158655768,6.47948772
R24,11.70443307,7.282609501,8.007243914
R25,10.02762749,3.034702035,10.72739519
R28,11.66717072,5.382229845,18.06807739
R29,11.92800715,6.425575539,16.72663292
R3,9.766791067,7.767020002,5.026256219
R32,12.82230345,7.170822463,12.88861127
R33,12.8595658,7.059035424,12.29241373
R35,8.313559565,7.617970617,2.641466062
R4,10.32572626,8.139643464,7.038422913
R5,8.723445374,9.220251503,7.411046375
R6,7.493787949,8.735841003,8.752490838
R8,8.574395989,8.884890387,11.24906803
